1600016,Swizurk,Shooting Guard,Pacers Gaming,Regular,16,384,101,161,0.627,52,94,0.553,12,17,0.706,5,20,25,46,12,15,37,1,266,32,0.789,0.789,26.5915599
1600060,Dayfri,Power Forward,Wizards District Gaming,Regular,13,312,80,136,0.588,14,32,0.438,20,26,0.769,21,46,67,48,57,26,38,13,194,31,0.64,0.658,26.4965
1600025,ZDS,Point Guard,76ers GC,Regular,16,384,107,199,0.538,60,127,0.472,6,9,0.667,3,7,10,32,17,22,19,1,280,52,0.688,0.69,26.4380547
1600228,JMoneyRep817,Small Forward,Traded,Regular,15,360,111,200,0.555,36,77,0.468,15,18,0.833,4,9,13,63,28,24,44,1,273,32,0.645,0.657,26.41085
1600078,Joseph,Center,Pistons GT,Regular,16,384,75,116,0.647,27,42,0.643,17,18,0.944,24,46,70,33,31,26,21,12,194,28,0.763,0.783,25.9868932
1600222,BreadwinnerLA,Power Forward,76ers GC,Regular,15,360,52,84,0.619,17,38,0.447,8,9,0.889,31,56,87,29,31,45,17,17,129,21,0.72,0.733,25.3745694
1600002,oLarry,Center,Cavs Legion GC,Regular,16,387,68,109,0.624,6,17,0.353,23,31,0.742,38,65,103,56,29,35,36,13,165,24,0.651,0.673,25.3409638
1600014,Mootyy,Power Forward,Lakers Gaming,Regular,16,390,66,104,0.635,3,11,0.273,10,13,0.769,70,106,176,51,47,29,49,24,145,28,0.649,0.661,25.3089718
1600017,Kenny Got Work,Point Guard,Raptors Uprising GC,Regular,16,384,97,188,0.516,45,93,0.484,14,16,0.875,9,9,18,87,17,27,54,6,253,34,0.636,0.649,25.2646562
1600235,Gliz,Shooting Guard,Jazz Gaming,Regular,13,315,70,122,0.574,25,59,0.424,4,5,0.8,19,40,59,30,22,23,19,5,169,26,0.676,0.68,24.9014095
1600250,MOAM,Shooting Guard,Traded,Regular,11,264,68,118,0.576,31,64,0.484,7,9,0.778,3,17,20,23,18,24,27,2,174,30,0.708,0.713,24.8003674
1600059,Jin,Shooting Guard,Warriors Gaming Squad,Regular,15,360,66,107,0.617,18,33,0.545,10,11,0.909,43,40,83,27,14,19,15,6,160,23,0.701,0.715,24.6202111
1600026,Bsmoove,Shooting Guard,Warriors Gaming Squad,Regular,16,384,113,206,0.549,54,96,0.563,9,13,0.692,3,7,10,52,20,26,53,0,289,33,0.68,0.683,24.5424557
1600027,Idrisdagoat6,Center,Knicks Gaming,Regular,12,288,64,100,0.64,11,29,0.379,12,16,0.75,23,30,53,16,17,23,20,4,151,27,0.695,0.705,24.52225
1600230,Strainer,Shooting Guard,Cavs Legion GC,Regular,16,387,103,174,0.592,39,75,0.52,10,13,0.769,1,19,20,66,16,14,44,7,255,42,0.704,0.709,24.5035685
1600073,All Hail Trey,Power Forward,Traded,Regular,15,363,103,193,0.534,29,69,0.42,17,18,0.944,13,36,49,28,39,20,28,5,252,26,0.609,0.627,23.9771983
1600227,Lotty,Shooting Guard,Traded,Regular,17,411,90,130,0.692,27,44,0.614,7,9,0.778,6,11,17,26,50,37,12,5,214,31,0.796,0.799,23.9237616
1600028,Dat Boy Shotz,Power Forward,Hawks Talon GC,Regular,12,288,80,154,0.519,15,25,0.6,24,29,0.828,13,23,36,26,25,26,33,4,199,33,0.568,0.597,23.8624444
1600061,DDouble,Small Forward,Grizz Gaming,Regular,13,312,59,86,0.686,10,23,0.435,10,10,1,13,5,18,8,24,36,1,1,138,20,0.744,0.763,23.623109
1600234,JoJo,Power Forward,T-Wolves Gaming,Regular,16,384,76,112,0.679,21,37,0.568,4,4,1,26,59,85,24,23,27,29,9,177,18,0.772,0.778,23.3370104
1600077,NateKahl,Shooting Guard,NetsGC,Regular,16,387,82,120,0.683,14,31,0.452,12,13,0.923,17,14,31,17,51,41,15,4,190,19,0.742,0.756,23.1676796
1600095,Jomar12 PR,Center,Blazer5 Gaming,Regular,7,168,32,56,0.571,15,32,0.469,2,3,0.667,3,15,18,13,18,14,4,5,81,20,0.705,0.707,23.0552262
1600203,Shockey,Center,NetsGC,Regular,15,363,64,98,0.653,11,24,0.458,10,12,0.833,28,79,107,34,29,22,24,8,149,18,0.709,0.721,22.8904848
1600072,KingQuai614,Center,Raptors Uprising GC,Regular,15,360,53,95,0.558,9,20,0.45,7,9,0.778,47,63,110,41,37,47,36,11,122,29,0.605,0.616,22.8876194
1600240,Shuttles,Power Forward,NetsGC,Regular,16,387,52,82,0.634,13,27,0.481,9,15,0.6,43,72,115,46,38,39,35,16,126,15,0.713,0.711,22.7254574
1600214,Matty,Point Guard,Pacers Gaming,Regular,10,240,50,83,0.602,14,28,0.5,10,16,0.625,2,10,12,57,4,8,23,0,124,31,0.687,0.689,22.4984167
1600213,DevGoss,Point Guard,Traded,Regular,16,384,97,186,0.522,37,93,0.398,9,10,0.9,2,7,9,64,16,29,48,4,240,32,0.621,0.63,21.9283151
1600200,Lord Beezus,Center,Pacers Gaming,Regular,16,384,58,101,0.574,12,31,0.387,4,5,0.8,46,51,97,32,39,24,15,13,132,17,0.634,0.64,21.0239609
1600202,Kev,Shooting Guard,Lakers Gaming,Regular,16,390,92,204,0.451,54,129,0.419,13,15,0.867,4,15,19,22,20,33,27,5,251,41,0.583,0.596,21.0108513
1600225,Lav,Small Forward,NetsGC,Regular,15,363,89,177,0.503,39,90,0.433,20,29,0.69,2,16,18,63,19,15,47,3,237,30,0.613,0.624,20.7624711
1600052,Yusuf_Scarbz,Center,Kings Guard Gaming,Regular,14,336,45,73,0.616,34,51,0.667,0,0,0,4,42,46,14,30,28,14,24,124,31,0.849,0.849,20.7386845
1600046,Mel East,Small Forward,Celtics Crossover Gaming,Regular,16,387,62,98,0.633,25,48,0.521,14,15,0.933,10,9,19,14,45,41,10,6,163,31,0.76,0.779,20.6410904
1600239,Mo,Point Guard,Mavs Gaming,Regular,16,384,90,185,0.486,54,109,0.495,2,2,1,0,20,20,58,35,20,36,3,236,37,0.632,0.635,20.4608125
1600064,Safiya4ya,Shooting Guard,Lakers Gaming,Regular,4,99,19,29,0.655,4,8,0.5,1,1,1,1,1,2,5,7,12,6,2,43,17,0.724,0.73,20.2332222
1600089,l 24k Dropoff l,-,Heat Check Gaming,Regular,15,360,70,127,0.551,25,50,0.5,10,11,0.909,18,27,45,45,37,27,33,1,175,22,0.65,0.664,20.1819389
1600215,Wavy.zay,Point Guard,NetsGC,Regular,16,387,95,182,0.522,29,74,0.392,22,27,0.815,1,10,11,93,23,17,68,5,241,30,0.602,0.622,19.7582171
1600090,Rux,Center,Mavs Gaming,Regular,14,336,57,97,0.588,29,53,0.547,0,1,0,14,41,55,13,23,20,19,13,143,20,0.737,0.734,19.5861458
1600098,splashking,Shooting Guard,Pistons GT,Regular,9,216,45,85,0.529,7,25,0.28,9,17,0.529,11,23,34,51,9,20,42,2,106,30,0.571,0.573,19.4327963
1600206,PaulB,Center,Wizards District Gaming,Regular,4,96,12,22,0.545,3,11,0.273,2,2,1,7,17,24,10,7,9,7,3,29,11,0.614,0.634,19.4192292
1600216,RSG,Small Forward,Bucks Gaming,Regular,7,168,12,14,0.857,1,1,1,3,4,0.75,34,32,66,19,11,6,10,2,28,9,0.893,0.888,19.408131
1600208,Man_in_a_car,Shooting Guard,Pacers Gaming,Regular,6,144,29,62,0.468,21,44,0.477,1,2,0.5,1,7,8,12,6,9,10,2,80,20,0.637,0.636,19.3852292
1600054,TURNUPDEFENSE,Shooting Guard,T-Wolves Gaming,Regular,16,384,62,101,0.614,18,39,0.462,10,13,0.769,9,11,20,25,37,37,11,3,152,22,0.703,0.712,19.2778099
1600038,WoLF 74,Shooting Guard,Pacers Gaming,Regular,16,384,64,100,0.64,17,33,0.515,13,13,1,9,11,20,21,40,30,9,3,158,26,0.725,0.747,19.2224089
1600093,BalILikeSeem,Shooting Guard,Kings Guard Gaming,Regular,16,384,81,159,0.509,42,89,0.472,24,31,0.774,2,10,12,37,22,17,33,1,228,25,0.642,0.66,19.1844688
1600204,OOC Slim,Center,Raptors Uprising GC,Regular,7,168,31,59,0.525,11,24,0.458,5,5,1,5,11,16,10,11,12,7,1,78,22,0.619,0.637,19.010119
1600071,XxSTL2LAxX,Small Forward,Hawks Talon GC,Regular,9,216,37,66,0.561,6,12,0.5,2,4,0.5,14,24,38,37,15,10,20,7,82,30,0.606,0.605,18.8362824
1600037,Yeah I Compete,Point Guard,Jazz Gaming,Regular,16,387,80,145,0.552,28,52,0.538,8,9,0.889,1,17,18,128,27,4,65,3,196,41,0.648,0.658,18.6649483
1600070,Godddof2k,Shooting Guard,Cavs Legion GC,Regular,16,387,48,79,0.608,11,26,0.423,9,9,1,12,14,26,27,53,57,12,4,116,30,0.677,0.699,18.5635194
1600005,Hood,Point Guard,Traded,Regular,15,360,88,181,0.486,29,68,0.426,13,15,0.867,8,17,25,64,20,24,62,6,218,37,0.566,0.581,18.365575
1600075,HazzaUK,Center,Knicks Gaming,Regular,14,336,51,94,0.543,25,53,0.472,7,10,0.7,4,20,24,22,36,32,11,4,134,20,0.676,0.681,18.2795655
1600047,MaJes7ic,Point Guard,Heat Check Gaming,Regular,16,384,69,128,0.539,19,48,0.396,8,11,0.727,17,39,56,36,33,28,32,9,165,25,0.613,0.621,18.156263
1600010,iiNsaniTTy,Small Forward,Pistons GT,Regular,14,336,71,126,0.563,15,39,0.385,11,14,0.786,2,3,5,30,32,23,25,2,168,29,0.623,0.636,17.1409702
1600205,CB13,Point Guard,Warriors Gaming Squad,Regular,16,384,64,135,0.474,35,78,0.449,14,15,0.933,1,19,20,111,21,17,62,0,177,25,0.604,0.625,17.0435807
